
[2018-06-06 16:30:58.955] 209|-1.009;-0.083;0.099|0.5;-0.4;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:59.049] 210|-1.009;-0.082;0.099|0.5;-0.3;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:59.158] 211|-1.010;-0.083;0.100|0.6;-0.3;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:59.252] 212|-1.009;-0.083;0.099|0.6;-0.2;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:59.361] 213|-1.009;-0.083;0.100|0.5;-0.2;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:59.455] 214|-1.010;-0.082;0.100|0.6;-0.1;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:59.549] 215|-1.009;-0.082;0.100|0.7;-0.3;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:59.658] 216|-1.010;-0.083;0.100|0.6;-0.3;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:59.756] 217|-1.010;-0.082;0.099|0.6;-0.3;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:59.850] 218|-1.010;-0.083;0.100|0.6;-0.3;2.9|-134.8;82.7;39.6|3
[2018-06-06 16:30:59.959] 219|-1.010;-0.083;0.099|0.6;-0.2;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:31:00.053] 220|-1.009;-0.083;0.100|0.7;-0.1;3.3|-134.8;82.7;39.6|3
[2018-06-06 16:31:00.162] 221|-1.009;-0.082;0.100|0.6;-0.3;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:31:00.256] 222|-1.009;-0.083;0.099|0.7;-0.2;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:31:00.366] 223|-1.010;-0.083;0.100|0.5;-0.2;3.2|-134.8;82.7;39.6|3
[2018-06-06 16:31:00.459] 224|-1.009;-0.082;0.100|0.6;-0.2;3.2|-134.8;82.7;39.6|3
[2018-06-06 16:31:00.569] 225|-1.009;-0.082;0.100|0.7;-0.2;3.2|-134.8;82.7;39.6|3
[2018-06-06 16:31:00.662] 226|-1.010;-0.082;0.100|0.6;-0.2;3.2|-134.8;82.7;39.6|3
[2018-06-06 16:31:00.756] 227|-1.010;-0.082;0.101|0.7;-0.3;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:31:00.865] 228|-1.009;-0.083;0.100|0.7;-0.3;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:31:00.959] 229|-1.009;-0.082;0.100|0.5;-0.2;3.2|-134.9;82.7;39.5|3
