

[2018-06-06 15:04:53.665] 131|-1.001;-0.037;0.135|0.6;-0.7;3.2|-159.3;82.3;15.1|0
[2018-06-06 15:04:53.665] 132|-1.002;-0.038;0.135|0.7;-0.6;3.1|-159.3;82.3;15.1|0
[2018-06-06 15:04:53.687] 133|-1.003;-0.037;0.136|0.7;-0.8;3.2|-159.3;82.3;15.1|0
[2018-06-06 15:04:53.687] 134|-1.004;-0.037;0.135|0.6;-0.8;3.2|-159.2;82.2;15.1|0
[2018-06-06 15:04:53.703] 135|-1.004;-0.038;0.135|0.6;-0.8;3.1|-159.2;82.2;15.1|0
[2018-06-06 15:04:53.719] 136|-1.005;-0.037;0.134|0.5;-0.8;3.0|-159.2;82.2;15.1|0
[2018-06-06 15:04:53.719] 137|-1.006;-0.036;0.133|0.7;-1.0;3.1|-159.2;82.2;15.2|0
[2018-06-06 15:04:53.734] 138|-1.006;-0.034;0.131|0.8;-1.0;3.1|-159.2;82.2;15.2|0
[2018-06-06 15:04:53.750] 139|-1.006;-0.034;0.129|0.7;-0.8;3.1|-159.2;82.2;15.2|0
[2018-06-06 15:04:53.750] 140|-1.007;-0.034;0.128|0.7;-0.8;3.2|-159.2;82.2;15.1|0
[2018-06-06 15:04:53.765] 141|-1.008;-0.035;0.127|0.6;-0.7;3.2|-159.2;82.2;15.1|0
[2018-06-06 15:04:53.781] 142|-1.006;-0.036;0.127|0.7;-0.8;3.2|-159.2;82.2;15.1|0
[2018-06-06 15:04:53.781] 143|-1.005;-0.037;0.127|0.7;-0.8;3.3|-159.2;82.3;15.1|0
[2018-06-06 15:04:53.797] 144|-1.005;-0.037;0.128|0.6;-0.9;3.3|-159.2;82.3;15.1|0
[2018-06-06 15:04:53.812] 145|-1.005;-0.038;0.128|0.6;-0.7;3.3|-159.2;82.3;15.2|0
[2018-06-06 15:04:53.812] 146|-1.003;-0.039;0.130|0.7;-0.7;3.4|-159.1;82.3;15.2|0
[2018-06-06 15:04:53.828] 147|-1.002;-0.038;0.131|0.7;-0.7;3.3|-159.1;82.3;15.2|0
[2018-06-06 15:04:53.844] 148|-1.003;-0.038;0.131|0.7;-0.7;3.2|-159.0;82.3;15.3|0
[2018-06-06 15:04:53.844] 149|-1.003;-0.038;0.133|0.8;-0.7;3.2|-159.0;82.3;15.3|0
[2018-06-06 15:04:53.859] 150|-1.004;-0.037;0.134|0.7;-0.8;3.1|-159.0;82.3;15.4|0
[2018-06-06 15:04:53.875] 151|-1.005;-0.035;0.136|0.6;-0.9;3.0|-158.9;82.3;15.4|0
[2018-06-06 15:04:53.875] 152|-1.006;-0.035;0.136|0.6;-0.7;3.2|-158.9;82.3;15.4|0
[2018-06-06 15:04:53.890] 153|-1.006;-0.034;0.136|0.7;-0.7;3.2|-159.0;82.3;15.4|0
[2018-06-06 15:04:53.906] 154|-1.007;-0.033;0.136|0.7;-0.9;3.1|-159.0;82.3;15.3|0
[2018-06-06 15:04:53.906] 155|-1.006;-0.032;0.134|0.5;-0.8;3.2|-159.1;82.3;15.3|0
[2018-06-06 15:04:53.922] 156|-1.007;-0.034;0.133|0.6;-0.8;3.2|-159.2;82.3;15.2|0
[2018-06-06 15:04:53.937] 157|-1.007;-0.034;0.133|0.6;-0.9;3.2|-159.2;82.3;15.1|0
[2018-06-06 15:04:53.937] 158|-1.005;-0.035;0.131|0.7;-0.9;3.1|-159.3;82.3;15.1|0
[2018-06-06 15:04:53.953] 159|-1.003;-0.037;0.131|0.8;-0.9;3.2|-159.3;82.3;15.1|0
[2018-06-06 15:04:53.969] 160|-1.003;-0.038;0.130|0.8;-0.8;3.2|-159.3;82.3;15.1|0
[2018-06-06 15:04:53.969] 161|-1.004;-0.038;0.128|0.6;-0.8;3.2|-159.3;82.3;15.1|0
[2018-06-06 15:04:53.984] 162|-1.003;-0.038;0.128|0.6;-0.9;3.2|-159.2;82.3;15.1|0
[2018-06-06 15:04:54.000] 163|-1.003;-0.039;0.127|0.6;-0.8;3.1|-159.2;82.3;15.2|0
[2018-06-06 15:04:54.000] 164|-1.004;-0.038;0.128|0.8;-0.8;3.1|-159.1;82.3;15.2|0
[2018-06-06 15:04:54.015] 165|-1.005;-0.037;0.129|0.8;-0.7;3.1|-159.0;82.3;15.3|0
[2018-06-06 15:04:54.031] 166|-1.005;-0.036;0.130|0.7;-0.8;2.9|-159.0;82.3;15.4|0
